Date (UTC+2:00),Token,Type,Price (CZK),Amount,Total value (CZK),Fee,Fee Currency,Notes
2024-04-23 21:34:00,TRX,buy,425281,0.043722,-18594,0,CZK,Automatický trade
2024-04-24 13:56:00,TRX,sell,51229,0.075526,4040,0,CZK,Stabilní růst
2024-04-24 08:27:00,ADA,buy,35530,0.097675,-3470,0,CZK,Optimalizace robota
2024-04-24 13:47:00,AVAX,buy,381639,0.076893,-29345,0,CZK,Optimalizace robota
2024-04-25 08:46:00,MATIC,buy,183384,0.03101,-5687,0,CZK,Volatilita trhu
2024-04-26 11:48:00,ADA,sell,1277104,0.02272,29317,0,CZK,Automatický trade
2024-04-26 11:04:00,AVAX,buy,872350,0.091934,-80199,0,CZK,Optimalizace robota
2024-04-26 08:06:00,ATOM,buy,1226057,0.06206,-76089,0,CZK,Korekce trhu
2024-04-26 20:28:00,MATIC,sell,722816,0.081196,59082,0,CZK,Automatický trade
2024-04-27 16:24:00,ADA,buy,574167,0.048612,-27911,0,CZK,Optimalizace robota
2024-04-27 13:53:00,BTC,sell,314523,0.045836,14254,0,CZK,Ztráta
2024-04-28 11:44:00,DOT,buy,776746,0.007416,-5760,0,CZK,Optimalizace robota
2024-04-28 13:08:00,ATOM,sell,606296,0.08183,49775,0,CZK,Stabilní růst
2024-04-28 08:20:00,SOL,buy,1071839,0.051491,-55190,0,CZK,Automatický trade
2024-04-28 19:15:00,BTC,buy,1227180,0.056159,-68917,0,CZK,Optimalizace robota
2024-04-28 22:55:00,LTC,sell,79314,0.072293,6062,0,CZK,Volatilita trhu
2024-04-29 14:15:00,MATIC,sell,54556,0.055,2819,0,CZK,Korekce trhu
2024-04-29 13:57:00,MATIC,buy,1497473,0.020706,-31007,0,CZK,Korekce trhu
2024-04-29 15:33:00,BNB,sell,209180,0.037446,7778,0,CZK,Ztráta
2024-04-29 13:46:00,MATIC,sell,690283,0.073078,50434,0,CZK,Korekce trhu
2024-04-29 12:04:00,MATIC,buy,626245,0.032025,-20055,0,CZK,Korekce trhu
2024-04-30 10:45:00,DOT,sell,1043412,0.011732,12345,0,CZK,Ztráta
2024-05-01 16:56:00,TRX,sell,667912,0.001833,1412,0,CZK,Zisk
2024-05-01 17:12:00,AVAX,sell,483718,0.06118,29859,0,CZK,Korekce trhu
2024-05-01 22:28:00,TRX,sell,1195258,0.063925,76526,0,CZK,Automatický trade
